"";"BD";"fiche_n";"id_sortie";"id_obs";"date";"a";"m";"j";"Saisie";"etat_mer";"temp";"force_v";"direct_v";"direct_h";"neb";"phase_lune";"y_lat_DD";"x_lon_DD";"mod_peche";"prof_m_moyen";"nb_pecheur";"h_debut";"heure_enq";"h_fin";"Temps_peche_effectif";"choix_site";"fonds_rech";"esp_cib";"mort_app";"mort_esp";"viv_app";"viv_esp";"autre_app";"procu_app";"tech_util";"nom_scien";"nb_ind";"tail_cm";"poids_g";"poids_sor";"photos";"CPUE";"CPUE total";"obs";"y_lat";"y_degre";"y_min_dec";"lat";"x_lon";"x_degre";"x_min_dec";"long";"temps_peche_estime";"res_tour";"infraction";"infraction_nb";"zone_peche";"commune";"mode_de_pêche";"zone_geographique"
"242";"PNMCA";304;"PECHLOIS2023_0159";"PECHLOIS2023_0159_C";2023-07-13;"2023";"07";"13";"Maeva_LABEGORRE";1;28;"1";"E";"NO";"25_50";"dern_quart";42,90056;9,47404;"pdb";4;1;12:00:00;14:30:00;16:00:00;02:30:00;"NA";"NA";"Diplodus sargus, Oblada melanura";"pss";"pate a peche";"0";"0";"pain";"0";"flotteur";"Oblada melanura";1;26;221,07797642667;221;"oui";88,4311905706678;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"touriste";"NA";"NA";NA;NA;NA;NA
"243";"PNMCA";307;"PECHLOIS2023_0160";"PECHLOIS2023_0160_A";2023-07-18;"2023";"07";"18";"Maeva_LABEGORRE";1;27;"1";"E";"NE";"25_50";"nouv_lune";42,79271;9,48963;"pdb";5;3;09:00:00;09:30:00;13:00:00;00:30:00;"NA";"NA";"Sarpa salpa, Coris julis";"0";"0";"vers";"dure vert";"0";"0";"a soutenir du bord";"Thalassoma pavo";1;14;NA;NA;"oui";NA;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"resident";"NA";"NA";NA;NA;NA;NA
"244";"PNMCA";308;"PECHLOIS2023_0160";"PECHLOIS2023_0160_B";2023-07-18;"2023";"07";"18";"Maeva_LABEGORRE";1;27;"1";"E";"NE";"25_50";"nouv_lune";42,79271;9,48963;"pdb";5;3;09:00:00;09:30:00;13:00:00;00:30:00;"NA";"NA";"Coris julis, Diplodus sargus, Sarpa salpa";"0";"0";"vers";"dure vert";"0";"0";"a soutenir du bord";"Coris julis";1;12;12,787829770689;50;"oui";8,52521984712599;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"resident";"min_cons";"1";NA;NA;NA;NA
"245";"PNMCA";308;"PECHLOIS2023_0160";"PECHLOIS2023_0160_B";2023-07-18;"2023";"07";"18";"Maeva_LABEGORRE";1;27;"1";"E";"NE";"25_50";"nouv_lune";42,79271;9,48963;"pdb";5;3;09:00:00;09:30:00;13:00:00;00:30:00;"NA";"NA";"Coris julis, Diplodus sargus, Sarpa salpa";"0";"0";"vers";"dure vert";"0";"0";"a soutenir du bord";"Oblada melanura";1;14;36,9472847960532;NA;"oui";24,6315231973688;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"resident";"min_cons";"1";NA;NA;NA;NA
"246";"PNMCA";309;"PECHLOIS2023_0160";"PECHLOIS2023_0160_C";2023-07-18;"2023";"07";"18";"Maeva_LABEGORRE";1;28;"1";"E";"NE";"10_25";"nouv_lune";42,83618;9,48063;"pe";35;2;07:00:00;10:30:00;10:30:00;03:30:00;"NA";"NA";"Auxis thazard";"0";"0";"0";"0";"0";"0";"traine de fond, traine de surface";"Boops boops";1;20;65,6;66;"oui";9,37142857142857;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";03:30:00;"touriste";"NA";"NA";NA;NA;NA;NA
"247";"PNMCA";314;"PECHLOIS2023_0161";"PECHLOIS2023_0161_A";2023-07-19;"2023";"07";"19";"Maeva_LABEGORRE";1;30;"1";"NO";"NE";"0_10";"nouv_lune";42,6815;9,29828;"pdb";15;1;08:30:00;09:30:00;12:00:00;01:00:00;"NA";"NA";"Serranus cabrilla, Serranus hepatus, Serranus scriba";"0";"0";"vers";"bibi";"0";"0";"calee";"Serranus scriba";7;12;165,466015456305;165;"oui";165,466015456305;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";03:30:00;"touriste";"min_cons";"7";NA;NA;NA;NA
"248";"PNMCA";319;"PECHLOIS2023_0161";"PECHLOIS2023_0161_F";2023-07-19;"2023";"07";"19";"Maeva_LABEGORRE";1;29;"3";"O";"NE";"0_10";"nouv_lune";NA;NA;"pdb";1;5;05:30:00;15:30:00;00:00:00;10:00:00;"NA";"NA";"Sphyraena barracuda, Lichia amia, Coryphaena hippurus";"0";"0";"0";"0";"0";"0";"calee";"Oblada melanura";1;10;13,9724480993165;14;"oui";0,279448961986329;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";18:30:00;"resident";"min_cons";"1";NA;NA;NA;NA
"249";"PNMCA";320;"PECHLOIS2023_0162";"PECHLOIS2023_0162_A";2023-07-21;"2023";"07";"21";"Maeva_LABEGORRE";1;28;"1";"SE";"NO";"10_25";"nouv_lune";NA;NA;"pdb";3;3;07:00:00;09:00:00;09:30:00;02:00:00;"NA";"NA";"Oblada melanura";"0";"0";"0";"0";"pain";"0";"a soutenir du bord";"Oblada melanura";5;16;271,737302131096;272;"oui";45,2895503551826;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";02:30:00;"resident";"min_cons";"5";NA;NA;NA;NA
"250";"PNMCA";325;"PECHLOIS2023_0162";"PECHLOIS2023_0162_F";2023-07-21;"2023";"07";"21";"Maeva_LABEGORRE";1;29;"1";"SO";"NE";"0_10";"nouv_lune";42,95633;9,45544;"csm";5;3;15:30:00;16:15:00;17:00:00;00:45:00;"NA";"NA";"Sarpa salpa";"0";"0";"0";"0";"0";"0";"indienne, chasse a trou";"Diplodus annularis";1;9;12,6920405009755;45;"oui";5,64090688932244;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";01:30:00;"resident";"maille";"9";NA;NA;NA;NA
"251";"PNMCA";325;"PECHLOIS2023_0162";"PECHLOIS2023_0162_F";2023-07-21;"2023";"07";"21";"Maeva_LABEGORRE";1;29;"1";"SO";"NE";"0_10";"nouv_lune";42,95633;9,45544;"csm";5;3;15:30:00;16:15:00;17:00:00;00:45:00;"NA";"NA";"Sarpa salpa";"0";"0";"0";"0";"0";"0";"indienne, chasse a trou";"Labrus bergylta";1;14;32,1921727873923;NA;"oui";14,3076323499521;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";01:30:00;"resident";"NA";"NA";NA;NA;NA;NA
"252";"PNMCA";327;"PECHLOIS2023_0163";"PECHLOIS2023_0163_B";2023-08-01;"2023";"08";"01";"Maeva_LABEGORRE";2;28;"3";"O";"E";"10_25";"pln_lune";42,80779;9,33346;"pdb";1,5;1;09:30:00;11:15:00;12:00:00;01:45:00;"NA";"NA";"Oblada melanura";"0";"0";"0";"0";"pain";"0";"surfcasting";"Diplodus sargus";1;16;69,8883156671859;70;"oui";39,9361803812491;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";02:30:00;"resident";"maille";"1";NA;NA;NA;NA
"253";"PNMCA";328;"PECHLOIS2023_0163";"PECHLOIS2023_0163_C";2023-08-01;"2023";"08";"01";"Maeva_LABEGORRE";2;29;"3";"O";"E";"10_25";"pln_lune";42,81021;9,33343;"pdb";6;3;10:00:00;11:20:00;12:00:00;01:20:00;"NA";"NA";"Oblada melanura, Diplodus sargus, Sparus aurata";"cru";"crevette";"0";"0";"0";"0";"surfcasting";"Oblada melanura";1;22;136,418745882106;136;"oui";34,1046864705265;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";02:00:00;"touriste";"NA";"NA";NA;NA;NA;NA
"254";"PNMCA";329;"PECHLOIS2023_0164";"PECHLOIS2023_0164_A";2023-08-02;"2023";"08";"02";"Maeva_LABEGORRE";1;25;"1";"NE";"NO";"0_10";"pln_lune";42,71081;9,4553;"pdb";3;1;09:00:00;10:00:00;17:00:00;01:00:00;"NA";"NA";"Oblada melanura";"0";"0";"0";"0";"pain";"0";"flotteur";"Oblada melanura";4;17;259,017960370826;259;"oui";259,017960370826;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";08:00:00;"resident";"min_cons";"4";NA;NA;NA;NA
"255";"PNMCA";332;"PECHLOIS2023_0165";"PECHLOIS2023_0165_B";2023-08-03;"2023";"08";"03";"Maeva_LABEGORRE";1;27;"1";"O";"E";"0_10";"pln_lune";42,92385;9,47253;"pdb";5;2;10:30:00;12:20:00;15:00:00;01:50:00;"NA";"NA";"Coris julis, Diplodus sargus, Serranus cabrilla";"0";"0";"vers";"ver";"0";"0";"a soutenir du bord";"Coris julis";1;18;43,7066038551442;195;"oui";11,9199828695848;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:30:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"256";"PNMCA";332;"PECHLOIS2023_0165";"PECHLOIS2023_0165_B";2023-08-03;"2023";"08";"03";"Maeva_LABEGORRE";1;27;"1";"O";"E";"0_10";"pln_lune";42,92385;9,47253;"pdb";5;2;10:30:00;12:20:00;15:00:00;01:50:00;"NA";"NA";"Coris julis, Diplodus sargus, Serranus cabrilla";"0";"0";"vers";"ver";"0";"0";"a soutenir du bord";"Oblada melanura";1;6;3,19249053763094;NA;"oui";0,870679237535712;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:30:00;"secondaire";"min_cons";"1";NA;NA;NA;NA
"257";"PNMCA";332;"PECHLOIS2023_0165";"PECHLOIS2023_0165_B";2023-08-03;"2023";"08";"03";"Maeva_LABEGORRE";1;27;"1";"O";"E";"0_10";"pln_lune";42,92385;9,47253;"pdb";5;2;10:30:00;12:20:00;15:00:00;01:50:00;"NA";"NA";"Coris julis, Diplodus sargus, Serranus cabrilla";"0";"0";"vers";"ver";"0";"0";"a soutenir du bord";"Serranus cabrilla";4;15;148,425459016179;NA;"oui";40,479670640776;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:30:00;"secondaire";"min_cons";"4";NA;NA;NA;NA
"258";"PNMCA";333;"PECHLOIS2023_0165";"PECHLOIS2023-0165_C";2023-08-03;"2023";"08";"03";"Maeva_LABEGORRE";1;28;"2";"E";"NO";"0_10";"pln_lune";42,92385;9,47253;"csm";10;1;11:00:00;13:30:00;12:30:00;02:30:00;"NA";"NA";"Diplodus sargus, Mullus surmuletus, Labrus viridis";"0";"0";"0";"0";"0";"0";"chasse a trou";"Diplodus sargus";1;19;117,233509179672;207;"oui";46,8934036718687;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";01:30:00;"secondaire";"maille";"1";NA;NA;NA;NA
"259";"PNMCA";333;"PECHLOIS2023_0165";"PECHLOIS2023-0165_C";2023-08-03;"2023";"08";"03";"Maeva_LABEGORRE";1;28;"2";"E";"NO";"0_10";"pln_lune";42,92385;9,47253;"csm";10;1;11:00:00;13:30:00;12:30:00;02:30:00;"NA";"NA";"Diplodus sargus, Mullus surmuletus, Labrus viridis";"0";"0";"0";"0";"0";"0";"chasse a trou";"Labrus viridis";1;20;90,1210467938338;NA;"oui";36,0484187175335;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";01:30:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"260";"PNMCA";335;"PECHLOIS2023_0165";"PECHLOIS2023_0165_E";2023-08-03;"2023";"08";"03";"Maeva_LABEGORRE";1;27;"2";"E";"NO";"0_10";"pln_lune";42,88097;9,4779;"csm";3;1;11:30:00;15:00:00;13:15:00;03:30:00;"NA";"NA";"Sparus aurata, Diplodus sargus, Scorpaena scrofa, Muraena helena";"0";"0";"0";"0";"0";"0";"indienne";"Mullus surmuletus";2;23;306,101149173389;306;"oui";87,457471192397;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";01:45:00;"touriste";"NA";"NA";NA;NA;NA;NA
"261";"PNMCA";339;"PECHLOIS2023_0167";"PECHLOIS2023_0167_A";2023-08-09;"2023";"08";"09";"Maeva_LABEGORRE";1;21;"1";"SE";"NO";"0_10";"dern_quart";42,71031;9,45506;"pdb";3;2;08:30:00;09:15:00;11:00:00;00:45:00;"NA";"NA";"Coris julis";"0";"0";"vers";"dure rouge";"0";"0";"flotteur";"Coris julis";1;10;7,35852164170571;7;"oui";4,90568109447047;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";02:30:00;"touriste";"min_cons";"1";NA;NA;NA;NA
"262";"PNMCA";342;"PECHLOIS2023_0167";"PECHLOIS2023_0167_D";2023-08-09;"2023";"08";"09";"Maeva_LABEGORRE";1;25;"0";"N";"O";"0_10";"dern_quart";42,79497;9,491;"pdb";10;3;13:30:00;16:30:00;17:30:00;03:00:00;"NA";"NA";"Sparus aurata";"mll, cru";"moule, crevette";"0";"0";"0";"0";"a soutenir du bord";"Diplodus sargus";1;10;16,9825704998914;17;"oui";1,88695227776571;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";04:00:00;"resident";"maille";"1";NA;NA;NA;NA
"263";"PNMCA";343;"PECHLOIS2023_0168";"PECHLOIS2023_0168_A";2023-08-10;"2023";"08";"10";"Maeva_LABEGORRE";1;28;"1";"E";"NO";"0_10";"dern_quart";42,83199;9,48533;"pdb";3;1;10:00:00;11:30:00;12:00:00;01:30:00;"NA";"NA";"Sparus aurata";"0";"0";"vers";"dure vert";"0";"0";"a soutenir du bord";"Serranus cabrilla";3;12;56,1646356906993;56;"oui";37,4430904604662;NA;"NA";NA;NA;NA;"NA";NA;NA;NA;"NA";02:00:00;"touriste";"min_cons";"3";NA;NA;NA;NA
